,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,weight
0,17817.0,613.0437180995941,173.37684631347656,87.02226257324219,89.50848388671875,269.1780700683594,72.06185150146484,59.0,22.0,230.0,131.0,17817.0,3090950.5,1550820.8333333333,604011601.0,250073882.16666666,150247395.66666666,128295807151.05,45989163207.76666,22763747739.1,15734662407.550001,67783560.7322641,-18967506.96742341,15261412.779497415,-8689789.573822021,-3906563.5977163315,271686.08151626587,126564.08413505554,0.2135281901336582,-0.05975043786942397,0.04807569585434372,-0.00020507976447338164,-9.219522932217328e-05,6.411814363825346e-06,2.986923025546908e-06,58.8
1,17449.5,621.7127648591995,158.3011016845703,134.48947143554688,90.95072174072266,259.86090087890625,111.06922149658203,40.0,61.0,234.0,139.0,17449.5,2765399.1666666665,2356709.0,502045148.9166666,394145826.2083333,334932169.4166666,99994221326.95001,74268085982.43333,58557492173.566666,49661525492.8,63784307.574468076,20654258.846756637,16637816.530853331,212945160.36180115,-84122462.74419594,-101684170.72230959,-68188365.53430176,0.20948255923270268,0.0678334086675135,0.0546424742928847,0.005294321449787478,-0.0020914838269103808,-0.0025281095153526978,-0.0016953244002391634,58.8
2,18797.0,652.7838325500488,156.1786651611328,135.7056121826172,96.26268768310547,271.6423645019531,111.05970001220703,33.0,56.0,245.0,146.0,18797.0,2925953.0,2564989.1666666665,531413888.5,424052539.0,369835703.3333333,106753907778.3,80019751564.38333,64113491766.51666,55743936529.65,75958179.70556474,24784690.557385087,19824029.92175913,386285877.66090393,-211591011.53904533,-219476857.89325714,-133140475.96382141,0.2149797065460779,0.07014656648586916,0.05610671756037653,0.007974206489339252,-0.0043679319252298955,-0.004530721638259191,-0.0027484557650756577,58.8
3,17459.0,606.558436870575,202.03594970703125,110.14134216308594,90.4600601196289,262.8799743652344,100.92687225341797,77.0,53.0,236.0,114.0,17459.0,3491152.333333333,1921576.5,766272022.1666666,395557544.3333333,222653286.0,180324712833.1,88726018853.98334,47010385407.95,26971826371.45,68171064.80720866,11313527.971943855,11160288.385460228,-164633755.49145508,-136161657.95395184,-2396418.568919182,9456372.319145203,0.22364610947000194,0.037115842659358446,0.03661311562361716,-0.004087619597375244,-0.0033806983252141513,-5.9499629809127465e-05,0.00023478813744135817,58.8
4,16721.5,591.345233798027,190.22488403320312,89.54698944091797,88.5568618774414,256.8299255371094,102.72138977050781,76.0,30.0,226.0,116.0,16721.5,3187076.833333333,1504105.6666666665,668116861.5833333,298154595.4583333,146162888.0833333,150457023551.65,64411118048.933334,29896620085.13333,15091735809.800001,60667844.355810165,11475749.354890347,10867976.951031953,-10693702.242584229,-60762304.57934952,-26163981.56871009,-10832719.160150528,0.21697420088862165,0.04104219578451177,0.03886854130495052,-0.00029576038602520117,-0.001680529553797113,-0.0007236286473269076,-0.0002996052375341306,58.8
5,13924.0,566.558436870575,181.22238159179688,115.27197265625,80.11320495605469,244.90577697753906,63.287166595458984,78.0,44.0,201.0,137.0,13924.0,2518745.333333333,1620037.8333333333,496321795.6666666,275313113.6666666,202794483.5,104250302542.20001,51319274538.28333,32644018106.983334,26832885885.850002,40699987.695649505,-17739366.405997634,14305358.145837337,-255156723.62297058,-9236937.236832619,87944456.6521368,-90783928.3249321,0.20992600872236902,-0.09149767844457653,0.07378544586687098,-0.011153135547876841,-0.00040375503959618435,0.0038441332519029057,-0.003968249175643319,42.9
6,14331.0,573.3868639469147,141.0739288330078,147.53115844726562,85.12303161621094,234.7818603515625,102.82320404052734,29.0,90.0,222.0,108.0,14331.0,2009542.8333333333,2121869.1666666665,329846683.3333333,307244396.9166666,322536884.0,59844062975.55,51372658027.4,48023533725.6,50213741456.450005,48061574.1991933,9708497.318175793,8369780.486588955,113086590.60243225,-187651058.40111828,-78622854.96459317,-20033406.77420807,0.2340157024222977,0.047271460771587365,0.04075313995275732,0.00459959794116962,-0.007632376370019594,-0.0031978461805023456,-0.0008148235441742913,42.9
7,14606.0,583.8132700920105,133.53457641601562,140.15701293945312,84.67565155029297,242.0919189453125,112.4859848022461,24.0,71.0,219.0,131.0,14606.0,1944346.5,2062076.8333333333,306323815.1666666,291513552.0,304295692.1666666,53692125219.850006,47696542570.03333,45200608052.86667,46597180179.350006,47492970.85184738,17010479.726773262,13171437.300856173,269886332.62981415,-79150719.95778751,-110229710.12570071,-82412367.5218811,0.22262131536417815,0.07973591257457938,0.06174056169912864,0.010467733351252567,-0.003069916964688332,-0.00427533770138842,-0.003196422285109743,42.9
8,19088.5,654.6589421033859,332.24615478515625,87.92765045166016,92.03411865234375,290.68853759765625,80.47032928466797,203.0,29.0,253.0,117.0,19088.5,6335884.0,1685935.6666666665,2192185740.25,546520911.625,161282472.25,786489799961.1001,184767438104.25,51298170830.45,16411102393.0,89169470.69209862,-13077423.260541916,12377158.991295666,-338363696.13879395,-169568672.08927822,75096895.71802282,-20050393.51076317,0.24472175816454536,-0.035890422896334664,0.03396857787673719,-0.0067213150802437685,-0.0033683414794685035,0.0014917377467764637,-0.0003982844903474361,58.9
9,17638.5,611.546244263649,185.1993408203125,93.1916275024414,90.32671356201172,268.370361328125,95.42285919189453,68.0,44.0,236.0,101.0,17638.5,3280018.5,1638197.0,682460997.4166666,310811258.875,161842819.91666666,153921459353.35,65779934615.4,31247662502.2,16834840895.2,72515630.16082013,6175577.459658563,9693294.117477387,42733045.08035278,98749978.5704937,4582401.613463163,2940634.6471328735,0.23308178023880338,0.019849714952591753,0.031156458880235396,0.0010342123448470952,0.0023899173742230203,0.00011090190995702676,7.116835807116772e-05,58.9
